participant,activity,window,mean,standar deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count
2,Prepare Speech,1,620.6736842,50.23113778,516,780,628,640,0.044617845,0.665922455,660,636,616,579.2,622.7029705,58,0.557894737,0.442105263,264,2550.009406,0.031578947,0.147368421,22.76615629,3,14,18.58503026,12,55.49473684,54.98947368,66.35789474,0.836294416,95
2,Prepare Speech,2,640.8888889,26.36346143,588,760,638,640,1.190756398,3.593201759,664,641.6,632,620,641.4309004,32,0.4,0.6,172,702.8414482,0,0.133333333,14.32734195,0,12,9.649112493,16,66.17777778,63.64444444,63.6,1.040531097,90
2,Prepare Speech,3,627.8709677,27.03690262,584,708,628,596,0.412412179,-0.389252878,652.8,632.8,619.2,600,628.4528194,44,0.52688172,0.47311828,124,738.9396914,0,0.129032258,13.96268319,0,12,8.817730034,14,62.66666667,61.29032258,68.94623656,0.908920774,93
2,Prepare Speech,4,621.3473684,28.281952,556,708,624,636,0.412907715,0.707035302,640,629.6,612,596,621.9906921,36,0.505263158,0.494736842,152,808.3780515,0.010526316,0.115789474,14.98367906,1,11,9.768437084,15,67.91578947,60.33684211,62.86315789,1.080375084,95
2,Prepare Speech,5,636.1290323,38.95164518,556,732,632,620,0.383307374,-0.186958514,668,636,623.2,608,637.320466,48,0.387096774,0.612903226,176,1533.7223,0.010752688,0.172043011,18.10116499,1,16,11.7850952,9,60.8172043,56.08602151,67.05376344,0.906991661,93
2,Prepare Speech,6,645.6263736,35.05714279,576,732,640,612,0.376198683,-0.395818146,676,656,628,616,646.5774645,48,0.472527473,0.527472527,156,1242.658852,0,0.164835165,16.98103517,0,15,10.95138528,7,59.73626374,63.07692308,67.51648352,0.884765625,91
2,Prepare Speech,7,631.655914,20.9836058,604,700,628,612,1.160036163,1.055282521,646.4,632,620,612,632.0043555,24,0.451612903,0.548387097,96,445.0977092,0,0.053763441,11.26749847,0,5,7.058491782,18,60.51612903,63.09677419,71.01075269,0.852210781,93
2,Prepare Speech,8,616.7916667,16.11024303,580,656,616,608,0.135787858,-0.189405626,632,620,612,604,617.0020259,20,0.46875,0.53125,76,262.2719298,0,0.010416667,9.065841036,0,1,5.670314398,14,65.125,57.75,65,1.001923077,96
2,Prepare Speech,9,614.1666667,17.43479917,580,668,612,620,0.577519297,0.511082303,624,620,608,600,614.414084,17,0.46875,0.53125,88,307.1719298,0,0.010416667,8.60844139,0,1,5.251523984,15,63.29166667,57.41666667,64.375,0.983171521,96
2,Prepare Speech,10,618.9787234,18.29252767,584,668,620,620,0.50670089,0.179088642,631.2,620,616,604.8,619.2489617,18,0.553191489,0.446808511,84,341.8908418,0,0.021276596,8.727766784,0,1,5.383584936,8,66.29787234,66.72340426,52.68085106,1.258481422,47
2,Speech,1,599.0638298,28.99992975,512,668,596,588,0.257399062,0.391398205,620,604,592,576,599.7653442,35,0.457446809,0.542553191,156,850.0388927,0.031914894,0.127659574,83.51833229,3,12,80.27350633,21,54.08510638,62.59574468,57.40425532,0.942179392,94
2,Speech,2,620.6086957,28.55313754,572,700,618,588,0.654195231,-0.072371023,644,626.4,608,592.8,621.2651888,41,0.434782609,0.565217391,128,824.2408027,0.010869565,0.206521739,64.04394096,1,19,61.05378997,19,61.17391304,59.2173913,63.04347826,0.970344828,92
2,Speech,3,638.173913,34.8283395,576,724,636,636,0.302471772,-0.620945119,668,644,628,604,639.1235847,48,0.489130435,0.510869565,148,1226.343048,0.010869565,0.304347826,20.56349053,1,28,12.86268313,13,58.91304348,60.52173913,61.17391304,0.963041933,92
2,Speech,4,648.7912088,26.29482734,596,724,648,652,0.319827263,-0.017357732,672,652,640,628,649.323841,36,0.461538462,0.538461538,128,699.1003663,0,0.296703297,19.12299372,0,27,11.30680992,21,65.58241758,67.12087912,62.28571429,1.052928723,91
2,Speech,5,634.2365591,26.56839332,568,692,636,636,-0.174393709,-0.230417375,656,640,631.2,608,634.7927949,32,0.537634409,0.462365591,124,713.5521272,0,0.215053763,17.15403362,0,20,10.93441524,24,63.48387097,62.19354839,70.23655914,0.90385793,93
2,Speech,6,629.3333333,31.41581457,568,724,628,608,0.546190392,0.258703401,654.4,636,616,605.6,630.1169716,40,0.440860215,0.559139785,156,997.6811594,0.010752688,0.268817204,20.4173839,1,25,13.36551724,18,63.1827957,58.75268817,65.89247312,0.958877285,93
2,Speech,7,645.2307692,32.05869511,572,744,644,628,0.388176213,0.197390052,672,648,632,620,646.0267065,44,0.472527473,0.527472527,172,1039.179487,0.010989011,0.285714286,22.53688335,1,26,14.13200553,19,60.92307692,62.94505495,63.38461538,0.961165049,91
2,Speech,8,649.8666667,38.52941157,572,744,646,628,0.161427921,-0.508937476,684,657.6,636,620,651.0078341,51,0.455555556,0.544444444,172,1501.195506,0.022222222,0.311111111,23.32766116,2,28,14.58965293,15,63.46666667,64.57777778,64.66666667,0.981443299,90
2,Speech,9,647.6,39.12396254,572,728,648,652,0.17163293,-0.742703149,684.8,656,634.4,611.2,648.7807368,58,0.511111111,0.488888889,156,1547.883146,0.033333333,0.388888889,25.20923676,3,35,14.7419841,20,60.8,67.64444444,64.62222222,0.94085282,90
2,Speech,10,649.7272727,29.79197851,600,728,652,652,0.306480441,-0.364429727,673.6,659.2,640,620,650.4099407,41,0.545454545,0.454545455,128,908.2029598,0.022727273,0.363636364,24.26213434,1,16,13.86951476,10,59.54545455,69.45454545,59.54545455,1,44
2,Arithmetic,1,642.0434783,56.80935185,544,760,658,548,-0.314767752,-0.930581093,687.2,668,644,572.8,644.5518834,89,0.608695652,0.391304348,216,3262.76732,0.032608696,0.27173913,19.95599555,3,25,12.86838993,7,57,61.91304348,66.43478261,0.857984293,92
2,Arithmetic,2,673.5909091,38.96170508,552,760,678,676,-1.093588003,1.875099331,700,684.8,672,653.6,674.7167756,37,0.579545455,0.420454545,208,1535.462905,0.022727273,0.272727273,20.45460351,2,24,12.80077947,17,70.54545455,66.27272727,63.59090909,1.109363831,88
2,Arithmetic,3,659.505618,35.42268796,584,712,668,664,-0.444153681,-0.940607341,692,676,660,622.4,660.4562264,68,0.606741573,0.393258427,128,1269.025536,0,0.157303371,16.14705152,0,14,10.38594091,7,68.71910112,68.6741573,69.43820225,0.989644013,89
